,MaxBenefit,x0,sigma,MassLoss,GrowthRate,OffspringNum,Symmetry,OffspringSet,dummy
157,0.38,5.0,3.0,1.0,1.2091929166696946,5,0.9965,1.8; 1.81; 1.8; 1.81; 1.8;,
158,0.631,5.0,3.0,1.0,1.3894753599000986,4,0.9889,2.05; 2.05; 2.06; 2.04;,
159,4.169,5.0,10.0,1.0,4.7994212265573,10,0.6666,1.04; 1.04; 1.04; 1.04; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
160,0.12,5.0,3.0,1.0,1.0459055656134058,22,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
161,0.2,5.0,10.0,1.0,1.1575490865094833,17,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
162,2.63,5.0,10.0,1.0,3.3839356095917617,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
163,2.399,5.0,3.0,1.0,2.7231946471946102,3,0.9955,2.42; 2.42; 2.41;,
164,0.115,5.0,10.0,1.0,1.0831081472505315,20,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
165,0.11,5.0,10.0,1.0,1.0788128609063126,20,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
166,1.0959999999999999,5.0,3.0,1.0,1.7341580098982925,3,0.9913,2.48; 2.5; 2.48;,
167,0.7240000000000001,5.0,3.0,1.0,1.4575434675327719,4,0.9804,2.04; 2.05; 2.01; 2.01;,
168,1.047,5.0,3.0,1.0,1.6969605752809356,3,0.9951,2.5; 2.48; 2.5;,
169,9.12,5.0,10.0,1.0,9.356685458001074,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0; 1.0; 1.0;,
170,6.607,5.0,10.0,1.0,7.043490252884848,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0;,
171,3.802,5.0,1.0,1.0,2.308331692394259,2,0.9976,3.09; 3.08;,
172,1.148,5.0,10.0,1.0,2.0216008627750166,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
173,0.316,5.0,10.0,1.0,1.2615413750792412,15,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
174,1.0959999999999999,5.0,10.0,1.0,1.9739575289374671,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
175,5.012,5.0,10.0,1.0,5.5753479029805435,10,0.6666,1.04; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
176,1.82,5.0,3.0,1.0,2.2837962117148543,3,0.9949,2.44; 2.44; 2.43;,
177,0.166,5.0,10.0,1.0,1.1274845588030615,18,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
178,0.363,5.0,10.0,1.0,1.3040913988498544,14,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
179,0.8320000000000001,5.0,10.0,1.0,1.7320372968035032,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
180,2.7539999999999996,5.0,3.0,1.0,2.9925206854029804,3,0.9947,2.4; 2.42; 2.41;,
181,1.047,5.0,10.0,1.0,1.9290607730221037,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
182,3.467,5.0,1.0,1.0,2.1880587444259096,2,0.9982,3.08; 3.08;,
183,0.21899999999999997,5.0,10.0,1.0,1.1745017277467291,16,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
184,5.247999999999999,5.0,1.0,1.0,2.820366504333359,2,0.9982,3.06; 3.06;,
185,5.495,5.0,10.0,1.0,6.019929580096184,10,1.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
186,0.525,5.0,10.0,1.0,1.4513609747903926,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
