MaxBenefit, x0, sigma, MassLoss, GrowthRate, OffspringNum, Symmetry, OffspringSet, dummy
1.0, 5.0, 0.1, 0.15, 1.0212952896752454, 2, 0.998, 4.7; 4.72; 
1.0, 5.0, 0.15, 0.15, 1.0438185980000183, 2, 0.9987, 4.58; 4.57; 
1.0, 5.0, 0.2, 0.15, 1.0772311744898246, 2, 0.0088, 1.02; 4.5; 
1.0, 5.0, 0.25, 0.15, 1.1122884830812616, 2, 0.0087, 4.47; 1.02; 
1.0, 5.0, 0.3, 0.15, 1.1435320888910008, 2, 0.0051, 4.46; 1.01; 
1.0, 5.0, 0.35, 0.15, 1.169432551941156, 2, 0.0498, 4.42; 1.09; 
1.0, 5.0, 0.4, 0.15, 1.1939442466035723, 2, 0.143, 1.26; 4.35; 
1.0, 5.0, 0.45, 0.15, 1.218687623542571, 2, 0.2717, 4.23; 1.51; 
1.0, 5.0, 0.5, 0.15, 1.2443076458638234, 2, 0.391, 4.12; 1.76; 
1.0, 5.0, 0.55, 0.15, 1.2717061707779576, 2, 0.5284, 3.99; 2.07; 
1.0, 5.0, 0.6, 0.15, 1.3043399615167885, 2, 0.9994, 3.4; 3.39; 
1.0, 5.0, 0.65, 0.15, 1.340601735383244, 2, 0.9962, 3.34; 3.36; 
1.0, 5.0, 0.7, 0.15, 1.3769428215956139, 2, 0.9994, 3.34; 3.33; 
1.0, 5.0, 0.75, 0.15, 1.4126550956951718, 2, 0.9992, 3.32; 3.32; 
1.0, 5.0, 0.8, 0.15, 1.447170999573911, 2, 0.9982, 3.32; 3.31; 
1.0, 5.0, 0.85, 0.15, 1.4800803825772904, 2, 0.9987, 3.31; 3.32; 
1.0, 5.0, 0.9, 0.15, 1.5111135179091644, 2, 0.9957, 3.3; 3.32; 
1.0, 5.0, 0.95, 0.15, 1.5401369452086362, 2, 0.993, 3.32; 3.29; 
1.0, 5.0, 1.0, 0.15, 1.5671491901923664, 2, 0.9996, 3.31; 3.31; 
1.0, 5.0, 1.05, 0.15, 1.5921039493738491, 2, 0.9982, 3.31; 3.32; 
