MaxBenefit, x0, sigma, MassLoss, GrowthRate, OffspringNum, Symmetry, OffspringSet, dummy
1.0, 5.0, 2.85, 0.1, 1.899751596647735, 2, 0.997, 3.35; 3.36; 
1.0, 5.0, 2.9, 0.1, 1.9016862373016679, 2, 0.998, 3.34; 3.35; 
1.0, 5.0, 2.95, 0.1, 1.9035308302565168, 2, 0.9984, 3.36; 3.35; 
1.0, 5.0, 3.0, 0.1, 1.9052853671303795, 2, 0.9977, 3.35; 3.36; 
1.0, 5.0, 3.05, 0.1, 1.9069573180601322, 2, 0.9952, 3.35; 3.37; 
1.0, 5.0, 3.1, 0.1, 1.9085555194325963, 2, 0.9978, 3.35; 3.36; 
1.0, 5.0, 3.15, 0.1, 1.9100797840519714, 2, 0.9991, 3.36; 3.35; 
1.0, 5.0, 3.2, 0.1, 1.911536791362427, 2, 0.9993, 3.37; 3.37; 
1.0, 5.0, 3.25, 0.1, 1.9129325157970842, 2, 0.9977, 3.36; 3.37; 
1.0, 5.0, 3.3, 0.1, 1.9142601428700279, 2, 0.9948, 3.38; 3.35; 
1.0, 5.0, 3.35, 0.1, 1.9155359493026394, 2, 0.9998, 3.37; 3.37; 
1.0, 5.0, 3.4, 0.1, 1.916757031231711, 2, 0.9941, 3.38; 3.36; 
1.0, 5.0, 3.45, 0.1, 1.9179302711296926, 2, 0.9944, 3.38; 3.36; 
1.0, 5.0, 3.5, 0.1, 1.9190559716763609, 2, 0.9958, 3.36; 3.38; 
1.0, 5.0, 3.55, 0.1, 1.9201371894717947, 2, 0.9971, 3.38; 3.37; 
1.0, 5.0, 3.6, 0.1, 1.9211746351149754, 2, 0.9995, 3.38; 3.38; 
1.0, 5.0, 3.65, 0.1, 1.9221681186161375, 2, 0.9965, 3.37; 3.39; 
1.0, 5.0, 3.7, 0.1, 1.9231254034787084, 2, 0.9969, 3.39; 3.37; 
1.0, 5.0, 3.75, 0.1, 1.9240465949421193, 2, 0.9976, 3.39; 3.38; 
1.0, 5.0, 3.8, 0.1, 1.9249314387553569, 2, 0.9972, 3.37; 3.39; 
1.0, 5.0, 3.85, 0.1, 1.9257850404277552, 2, 0.9969, 3.39; 3.38; 
1.0, 5.0, 3.9, 0.1, 1.9266084160320398, 2, 0.9983, 3.4; 3.39; 
1.0, 5.0, 3.95, 0.1, 1.9273990938385919, 2, 0.9996, 3.39; 3.4; 
1.0, 5.0, 4.0, 0.1, 1.9281639758776308, 2, 0.9996, 3.39; 3.39; 
1.0, 5.0, 4.05, 0.1, 1.9289018644685663, 2, 0.9973, 3.39; 3.4; 
1.0, 5.0, 4.1, 0.1, 1.9296127093199882, 2, 0.9975, 3.4; 3.39; 
1.0, 5.0, 4.15, 0.1, 1.930299716974881, 2, 0.9985, 3.4; 3.39; 
1.0, 5.0, 4.2, 0.1, 1.9309631444782225, 2, 0.9992, 3.4; 3.41; 
1.0, 5.0, 4.25, 0.1, 1.9316059329461162, 2, 0.9989, 3.4; 3.41; 
1.0, 5.0, 4.3, 0.1, 1.9322255920224953, 2, 0.9973, 3.4; 3.41; 
1.0, 5.0, 4.35, 0.1, 1.9328247824954228, 2, 0.9978, 3.42; 3.41; 
1.0, 5.0, 4.4, 0.1, 1.9334043900524907, 2, 0.9958, 3.4; 3.42; 
1.0, 5.0, 4.45, 0.1, 1.9339667513815715, 2, 0.9981, 3.42; 3.41; 
1.0, 5.0, 4.5, 0.1, 1.9345120303954042, 2, 0.9974, 3.41; 3.42; 
1.0, 5.0, 4.55, 0.1, 1.9350382322014346, 2, 0.9999, 3.42; 3.42; 
1.0, 5.0, 4.6, 0.1, 1.9355499696394514, 2, 0.999, 3.42; 3.43; 
1.0, 5.0, 4.65, 0.1, 1.936045570054445, 2, 0.9998, 3.43; 3.43; 
1.0, 5.0, 4.7, 0.1, 1.9365264127348736, 2, 0.9992, 3.42; 3.43; 
1.0, 5.0, 4.75, 0.1, 1.9369915589077675, 2, 0.9978, 3.42; 3.44; 
1.0, 5.0, 4.8, 0.1, 1.9374449313030295, 2, 0.9987, 3.43; 3.44; 
1.0, 5.0, 4.85, 0.1, 1.9378850081398746, 2, 0.9993, 3.44; 3.44; 
1.0, 5.0, 4.9, 0.1, 1.938309454593076, 2, 0.9939, 3.42; 3.45; 
1.0, 5.0, 4.95, 0.1, 1.9387261608259072, 2, 0.9986, 3.44; 3.44; 
1.0, 5.0, 5.0, 0.1, 1.9391294411151891, 2, 0.9996, 3.44; 3.44; 
1.0, 5.0, 5.05, 0.1, 1.939520904786007, 2, 0.9998, 3.44; 3.44; 
