MaxBenefit, x0, sigma, MassLoss, GrowthRate, OffspringNum, Symmetry, OffspringSet, dummy
1.0, 5.0, 0.1, 0.5, 1.0087095367547838, 12, 0.9977, 4.69; 4.68; 4.68; 4.69; 4.7; 4.68; 4.69; 4.7; 4.7; 4.68; 4.68; 4.68; 
1.0, 5.0, 0.15, 0.5, 1.0155880780928963, 7, 0.9979, 4.57; 4.57; 4.57; 4.57; 4.56; 4.57; 4.57; 
1.0, 5.0, 0.2, 0.5, 1.0243246783762707, 5, 0.9984, 4.45; 4.45; 4.45; 4.46; 4.45; 
1.0, 5.0, 0.25, 0.5, 1.0356251756671697, 3, 0.9985, 4.36; 4.37; 4.37; 
1.0, 5.0, 0.3, 0.5, 1.050300514278637, 2, 0.9998, 4.28; 4.29; 
1.0, 5.0, 0.35, 0.5, 1.0722800215982073, 2, 0.9988, 4.16; 4.17; 
1.0, 5.0, 0.4, 0.5, 1.0951595104451157, 2, 0.9993, 4.06; 4.05; 
1.0, 5.0, 0.45, 0.5, 1.1190001537991185, 2, 0.9995, 3.94; 3.94; 
1.0, 5.0, 0.5, 0.5, 1.143873227625242, 2, 0.9998, 3.83; 3.83; 
1.0, 5.0, 0.55, 0.5, 1.1698523883485352, 2, 0.9987, 3.73; 3.72; 
1.0, 5.0, 0.6, 0.5, 1.1970255015797266, 2, 0.9989, 3.62; 3.62; 
1.0, 5.0, 0.65, 0.5, 1.225463614178535, 2, 0.9986, 3.51; 3.5; 
1.0, 5.0, 0.7, 0.5, 1.2550891535092674, 2, 0.9999, 3.42; 3.42; 
1.0, 5.0, 0.75, 0.5, 1.2854456672935233, 2, 0.9995, 3.35; 3.35; 
1.0, 5.0, 0.8, 0.5, 1.3157922298980598, 2, 0.9983, 3.31; 3.31; 
1.0, 5.0, 0.85, 0.5, 1.3454861441245773, 2, 0.9972, 3.29; 3.28; 
1.0, 5.0, 0.9, 0.5, 1.3740864865641798, 2, 0.9967, 3.28; 3.26; 
1.0, 5.0, 0.95, 0.5, 1.401299324420524, 2, 0.9971, 3.27; 3.26; 
1.0, 5.0, 1.0, 0.5, 1.4269588748579052, 2, 0.9959, 3.27; 3.25; 
1.0, 5.0, 1.05, 0.5, 1.4510064282442832, 2, 0.9993, 3.25; 3.26; 
1.0, 5.0, 1.1, 0.5, 1.473418433299103, 2, 0.997, 3.25; 3.26; 
1.0, 5.0, 1.15, 0.5, 1.4942402472853193, 2, 0.9993, 3.24; 3.25; 
1.0, 5.0, 1.2, 0.5, 1.513539229957317, 2, 0.9967, 3.24; 3.26; 
1.0, 5.0, 1.25, 0.5, 1.5313979430448228, 2, 0.9978, 3.26; 3.25; 
1.0, 5.0, 1.3, 0.5, 1.5479071215628433, 2, 0.9984, 3.25; 3.25; 
1.0, 5.0, 1.35, 0.5, 1.5631573151932314, 2, 0.9964, 3.25; 3.27; 
1.0, 5.0, 1.4, 0.5, 1.5772656358636765, 2, 0.9967, 3.25; 3.26; 
1.0, 5.0, 1.45, 0.5, 1.590307713471371, 2, 0.9986, 3.26; 3.25; 
1.0, 5.0, 1.5, 0.5, 1.602377566874062, 2, 0.9989, 3.26; 3.26; 
1.0, 5.0, 1.55, 0.5, 1.6135421879537906, 2, 0.9979, 3.25; 3.26; 
1.0, 5.0, 1.6, 0.5, 1.6239031634940306, 2, 0.9985, 3.27; 3.28; 
1.0, 5.0, 1.65, 0.5, 1.6335173199929547, 2, 0.9957, 3.26; 3.28; 
1.0, 5.0, 1.7, 0.5, 1.6424569401750881, 2, 0.9993, 3.27; 3.28; 
1.0, 5.0, 1.75, 0.5, 1.650765572675311, 2, 0.9982, 3.28; 3.28; 
1.0, 5.0, 1.8, 0.5, 1.658506378846678, 2, 0.999, 3.28; 3.28; 
1.0, 5.0, 1.85, 0.5, 1.6657265450693184, 2, 0.9986, 3.29; 3.29; 
1.0, 5.0, 1.9, 0.5, 1.6724682211318838, 2, 0.9993, 3.29; 3.28; 
1.0, 5.0, 1.95, 0.5, 1.6787733211984621, 2, 0.9972, 3.29; 3.3; 
1.0, 5.0, 2.0, 0.5, 1.6846763451756068, 2, 0.998, 3.3; 3.31; 
1.0, 5.0, 2.05, 0.5, 1.6902149510840916, 2, 0.9992, 3.3; 3.3; 
1.0, 5.0, 2.1, 0.5, 1.6954073974993396, 2, 0.9959, 3.3; 3.32; 
1.0, 5.0, 2.15, 0.5, 1.7002979222347974, 2, 0.9988, 3.32; 3.31; 
1.0, 5.0, 2.2, 0.5, 1.7048963442224059, 2, 0.9973, 3.31; 3.32; 
1.0, 5.0, 2.25, 0.5, 1.7092256242843273, 2, 0.9959, 3.33; 3.31; 
1.0, 5.0, 2.3, 0.5, 1.7133142888253166, 2, 0.9973, 3.32; 3.34; 
1.0, 5.0, 2.35, 0.5, 1.7171765582069218, 2, 0.9989, 3.34; 3.34; 
1.0, 5.0, 2.4, 0.5, 1.7208296786571302, 2, 0.9987, 3.34; 3.34; 
1.0, 5.0, 2.45, 0.5, 1.7242831384884343, 2, 0.9956, 3.33; 3.35; 
1.0, 5.0, 2.5, 0.5, 1.7275640568774602, 2, 0.998, 3.36; 3.35; 
1.0, 5.0, 2.55, 0.5, 1.73067046128339, 2, 0.9971, 3.37; 3.35; 
1.0, 5.0, 2.6, 0.5, 1.7336300231570259, 2, 0.9996, 3.36; 3.36; 
1.0, 5.0, 2.65, 0.5, 1.7364343838799332, 2, 0.9959, 3.38; 3.36; 
1.0, 5.0, 2.7, 0.5, 1.7391126873236096, 2, 0.9993, 3.37; 3.37; 
1.0, 5.0, 2.75, 0.5, 1.7439092909901692, 3, 0.9882, 2.48; 2.48; 2.51; 
1.0, 5.0, 2.8, 0.5, 1.748581640417643, 3, 0.9882, 2.51; 2.48; 2.5; 
1.0, 5.0, 2.85, 0.5, 1.7530477382576697, 3, 0.9964, 2.5; 2.5; 2.51; 
1.0, 5.0, 2.9, 0.5, 1.7573083267741936, 3, 0.9932, 2.51; 2.49; 2.5; 
1.0, 5.0, 2.95, 0.5, 1.7613849195143851, 3, 0.9983, 2.51; 2.51; 2.51; 
1.0, 5.0, 3.0, 0.5, 1.7652863463458082, 3, 0.9965, 2.5; 2.51; 2.52; 
1.0, 5.0, 3.05, 0.5, 1.7690194943975253, 3, 0.9985, 2.51; 2.51; 2.51; 
1.0, 5.0, 3.1, 0.5, 1.7725964643413277, 3, 0.9931, 2.52; 2.52; 2.5; 
1.0, 5.0, 3.15, 0.5, 1.776019892750897, 3, 0.99, 2.53; 2.53; 2.5; 
1.0, 5.0, 3.2, 0.5, 1.7793142547785985, 3, 0.9995, 2.52; 2.52; 2.52; 
1.0, 5.0, 3.25, 0.5, 1.782465822732429, 3, 0.9945, 2.53; 2.51; 2.52; 
1.0, 5.0, 3.3, 0.5, 1.7854907029017726, 3, 0.9889, 2.54; 2.53; 2.51; 
1.0, 5.0, 3.35, 0.5, 1.788399729359972, 3, 0.9888, 2.55; 2.51; 2.53; 
1.0, 5.0, 3.4, 0.5, 1.7911996532630208, 3, 0.9952, 2.54; 2.54; 2.53; 
1.0, 5.0, 3.45, 0.5, 1.7938895591210113, 3, 0.9941, 2.55; 2.54; 2.53; 
1.0, 5.0, 3.5, 0.5, 1.7964764141567309, 3, 0.9932, 2.54; 2.53; 2.55; 
1.0, 5.0, 3.55, 0.5, 1.7989646151431753, 3, 0.9943, 2.53; 2.54; 2.55; 
1.0, 5.0, 3.6, 0.5, 1.8013665253850486, 3, 0.9937, 2.56; 2.54; 2.55; 
1.0, 5.0, 3.65, 0.5, 1.8036757234144845, 3, 0.9927, 2.55; 2.56; 2.54; 
1.0, 5.0, 3.7, 0.5, 1.805901108948225, 3, 0.9898, 2.56; 2.54; 2.57; 
1.0, 5.0, 3.75, 0.5, 1.8080545498274656, 3, 0.9961, 2.55; 2.56; 2.55; 
1.0, 5.0, 3.8, 0.5, 1.8101283877882066, 3, 0.9934, 2.55; 2.56; 2.57; 
1.0, 5.0, 3.85, 0.5, 1.8121328375744041, 3, 0.9961, 2.56; 2.56; 2.57; 
1.0, 5.0, 3.9, 0.5, 1.814065949928298, 3, 0.9947, 2.56; 2.58; 2.57; 
1.0, 5.0, 3.95, 0.5, 1.8159359344567427, 3, 0.9953, 2.58; 2.58; 2.57; 
1.0, 5.0, 4.0, 0.5, 1.8177369098588554, 3, 0.9877, 2.56; 2.6; 2.57; 
1.0, 5.0, 4.05, 0.5, 1.8194905964353771, 3, 0.9927, 2.59; 2.59; 2.57; 
1.0, 5.0, 4.1, 0.5, 1.8211833335495156, 3, 0.9939, 2.6; 2.58; 2.58; 
1.0, 5.0, 4.15, 0.5, 1.8228204921374842, 3, 0.9947, 2.59; 2.58; 2.6; 
1.0, 5.0, 4.2, 0.5, 1.8244062724632553, 3, 0.9962, 2.59; 2.59; 2.6; 
1.0, 5.0, 4.25, 0.5, 1.8259433287956344, 3, 0.9975, 2.6; 2.59; 2.6; 
1.0, 5.0, 4.3, 0.5, 1.827426812670268, 3, 0.987, 2.62; 2.6; 2.58; 
1.0, 5.0, 4.35, 0.5, 1.8288763731269069, 3, 0.9959, 2.61; 2.61; 2.6; 
1.0, 5.0, 4.4, 0.5, 1.8303843358791965, 4, 0.9945, 2.05; 2.06; 2.07; 2.06; 
1.0, 5.0, 4.45, 0.5, 1.832254466625256, 4, 0.9897, 2.05; 2.07; 2.07; 2.07; 
1.0, 5.0, 4.5, 0.5, 1.8340690663425878, 4, 0.9869, 2.06; 2.05; 2.08; 2.07; 
1.0, 5.0, 4.55, 0.5, 1.8358303608916997, 4, 0.9953, 2.07; 2.07; 2.07; 2.06; 
1.0, 5.0, 4.6, 0.5, 1.8375391428279446, 4, 0.9921, 2.07; 2.08; 2.06; 2.06; 
1.0, 5.0, 4.65, 0.5, 1.8391969609404537, 4, 0.984, 2.07; 2.09; 2.08; 2.05; 
1.0, 5.0, 4.7, 0.5, 1.8408115042268665, 4, 0.9917, 2.08; 2.07; 2.07; 2.09; 
1.0, 5.0, 4.75, 0.5, 1.842376129564586, 4, 0.9831, 2.07; 2.08; 2.06; 2.1; 
1.0, 5.0, 4.8, 0.5, 1.8439012118850187, 4, 0.9889, 2.08; 2.08; 2.08; 2.1; 
1.0, 5.0, 4.85, 0.5, 1.8453806240181705, 4, 0.9846, 2.1; 2.09; 2.07; 2.07; 
1.0, 5.0, 4.9, 0.5, 1.846823785358679, 4, 0.9908, 2.08; 2.09; 2.1; 2.09; 
1.0, 5.0, 4.95, 0.5, 1.8482235731529166, 4, 0.9869, 2.09; 2.1; 2.09; 2.07; 
1.0, 5.0, 5.0, 0.5, 1.8495891637203767, 4, 0.9918, 2.09; 2.1; 2.1; 2.08; 
1.0, 5.0, 5.05, 0.5, 1.8509127032193575, 4, 0.9822, 2.11; 2.12; 2.08; 2.08; 
